ime,dirkalisce,drzava,datum,prvenstvo,zmagovalec
Montgomery NASCAR,,USA,27/06/1967,NASCAR Grand National,Jim Paschal
Pikes Peak,Pikes Peak,USA,25/06/1967,USAC National Championship,Wes Vandervoort
War Bonnet F5000,War Bonnet Continental,USA,25/06/1967,SCCA Formula A Grand Prix Championship,Gus Hutchison
Greenville NASCAR,,USA,24/06/1967,NASCAR Grand National,Richard Petty
Belgian Grand Prix,Grand Prix de Belgique,BEL,18/06/1967,F1 World Championship,Dan Gurney
Langhorne Indycars,Langhorne 100,USA,18/06/1967,USAC National Championship,Lloyd Ruby
North Carolina NASCAR,Carolina 500,USA,18/06/1967,NASCAR Grand National,Richard Petty
Le Mans 24 Hours,24 heures du Mans,FRA,10/06/1967,AJ Foyt jr,Dan Gurney
Birmingham NASCAR,,USA,10/06/1967,NASCAR Grand National,Bobby Allison
Maryville NASCAR,East Tennessee 200,USA,08/06/1967,NASCAR Grand National,Richard Petty
Macon NASCAR,Macon 300,USA,06/06/1967,NASCAR Grand National,Richard Petty
Dutch Grand Prix,Grote Prijs van Nederland,NLD,04/06/1967,F1 World Championship,Jim Clark
Milwaukee Indycars,Rex Mays 150,USA,04/06/1967,USAC National Championship,Gordon Johncock
Asheville NASCAR,Asheville 300,USA,02/06/1967,NASCAR Grand National,Jim Paschal
Indianapolis 500,Indianapolis 500,USA,30/05/1967,USAC National Championship,AJ Foyt jr
Crystal Palace British F2,London Trophy,GBR,29/05/1967,RAC British F2 Championship,Jacky Ickx
Nurburgring 1000Kms,ADAC 1000 km-Rennen,DEU,28/05/1967,Joe Buzzetta,Udo Schutz
World 600,World 600,USA,28/05/1967,NASCAR Grand National,Jim Paschal
Syracuse Grand Prix,Syracuse Grand Prix,ITA,21/05/1967,Ludovico Scarfiotti,Michael Parkes
Hampton NASCAR,Tidewater 250,USA,20/05/1967,NASCAR Grand National,Richard Petty
Bridgehampton F5000,Bridgehampton Continental,USA,20/05/1967,SCCA Formula A Grand Prix Championship,Gus Hutchison
Beltsville NASCAR,Beltsville 200,USA,19/05/1967,NASCAR Grand National,Jim Paschal
Targa Florio,Targa Florio,ITA,14/05/1967,Paul Hawkins,Rolf Stommelen
Castle Rock F5000,Colorado Grand Prix,USA,14/05/1967,SCCA Formula A Grand Prix Championship,Gus Hutchison
Mallory Park British F2,Guards International Trophy,GBR,14/05/1967,RAC British F2 Championship,John Surtees
Darlington NASCAR,Rebel 400,USA,13/05/1967,NASCAR Grand National,Richard Petty
Monaco Grand Prix,Grand Prix de Monaco,MCO,07/05/1967,F1 World Championship,Denny Hulme
Kumalo F1,Bulawayo 100,RHO,07/05/1967,Non-championship,John Love
Spa 1000Kms,1000 km de Spa-Francorchamps,BEL,01/05/1967,Jacky Ickx,Dick Thompson
Richmond NASCAR,Richmond 250,USA,30/04/1967,NASCAR Grand National,Richard Petty
International Trophy,Daily Express International Trophy,GBR,29/04/1967,Non-championship,Michael Parkes
Savannah NASCAR,,USA,28/04/1967,NASCAR Grand National,Bobby Allison
Monza 1000Kms,1000 km di Monza/Trofeo Filippo Caracciolo,ITA,25/04/1967,Chris Amon,Lorenzo Bandini
Nurburgring F2,Eifelrennen,DEU,23/04/1967,European F2 Trophy,Jochen Rindt
Trenton Indycars,Trenton 150,USA,23/04/1967,USAC National Championship,Mario Andretti
Martinsville NASCAR,Virginia 500,USA,23/04/1967,NASCAR Grand National,Richard Petty
North Wilkesboro NASCAR,Gwyn Staley Memorial 400,USA,16/04/1967,NASCAR Grand National,Darel Dieringer
Oulton Park Spring Trophy,Spring Trophy,GBR,15/04/1967,Non-championship,Jack Brabham
Phoenix Indycars,Jimmy Bryan 150,USA,09/04/1967,USAC National Championship,Lloyd Ruby
Hickory NASCAR,Hickory 250,USA,09/04/1967,NASCAR Grand National,Richard Petty
Killarney F1,Killarney National Trophy,ZAF,08/04/1967,South African Drivers Championship,Sam Tingle
Columbia NASCAR,Sandlapper 200,USA,06/04/1967,NASCAR Grand National,Richard Petty
Atlanta NASCAR,Atlanta 500,USA,02/04/1967,NASCAR Grand National,Cale Yarborough
Sebring 12 Hours,12 Hours of Sebring,USA,01/04/1967,Mario Andretti,Bruce McLaren
Silverstone F2,Wills Trophy/BARC 200,GBR,27/03/1967,European F2 Trophy,Jochen Rindt
Pietermaritzburg F1,Coronation 100,ZAF,27/03/1967,South African Drivers Championship,John Love
Winston-Salem NASCAR,,USA,27/03/1967,NASCAR Grand National,Bobby Allison
Silverstone British F2,Wills Trophy/BARC 200,GBR,27/03/1967,RAC British F2 Championship,Jochen Rindt
Singapore Grand Prix,Singapore Grand Prix,SGP,27/03/1967,Non-championship,Rodney Seow
Greenville NASCAR,,USA,25/03/1967,NASCAR Grand National,David Pearson
Snetterton F2,Guards 100,GBR,24/03/1967,European F2 Trophy,Jochen Rindt
Snetterton British F2,Guards 100,GBR,24/03/1967,RAC British F2 Championship,Jochen Rindt
Bristol NASCAR,Southeastern 500,USA,19/03/1967,NASCAR Grand National,David Pearson
Race of Champions,Daily Mail Race of Champions,GBR,12/03/1967,Non-championship,Dan Gurney
Longford Tasman,South Pacific Trophy,AUS,05/03/1967,Tasman Cup,Jack Brabham
Weaverville NASCAR,Fireball 300,USA,05/03/1967,NASCAR Grand National,Richard Petty
Kyalami F1,Rand Autumn Trophy,ZAF,04/03/1967,South African Drivers Championship,Dave Charlton
Sandown Park Tasman,Sandown Park Cup,AUS,26/02/1967,Tasman Cup,Jim Clark
Daytona 500,Daytona 500,USA,26/02/1967,NASCAR Grand National,Mario Andretti
Daytona NASCAR,,USA,24/02/1967,NASCAR Grand National,Lee Roy Yarbrough
Daytona NASCAR,,USA,24/02/1967,NASCAR Grand National,Fred Lorenzen
Australian Grand Prix,Australian Grand Prix,AUS,19/02/1967,Tasman Cup,Jackie Stewart
Lakeside Tasman,Lakeside International,AUS,12/02/1967,Tasman Cup,Jim Clark
Buenos Aires Temporada,Gran Premio de la Automovil Club Argentina,ARG,12/02/1967,Temporada F3 Championship,Jean-Pierre Beltoise
Daytona 24 Hours,Daytona 24-hour Continental,USA,04/02/1967,Chris Amon,Lorenzo Bandini
Cordoba Temporada,Gran Premio de la Ciudad de Cordoba,ARG,02/02/1967,Temporada F3 Championship,Jean-Pierre Beltoise
Mar del Plata Temporada,Gran Premio de la Ciudad de Mar del Plata,ARG,29/01/1967,Temporada F3 Championship,Jean-Pierre Beltoise
Teretonga Tasman,Teretonga International,NZL,28/01/1967,Tasman Cup,Jim Clark
Riverside NASCAR,Motor Trend 500,USA,22/01/1967,NASCAR Grand National,Parnelli Jones
Buenos Aires Temporada,Gran Premio de la Ciudad de Buenos Aires,ARG,22/01/1967,Temporada F3 Championship,Jean-Pierre Beltoise
Lady Wigram Trophy,Lady Wigram Trophy,NZL,21/01/1967,Tasman Cup,Jim Clark
Levin Tasman,Wills Levin International,NZL,14/01/1967,Tasman Cup,Jim Clark
New Zealand Grand Prix,New Zealand Grand Prix,NZL,07/01/1967,Tasman Cup,Jackie Stewart
Killarney F1,Cape South Easter Trophy,ZAF,07/01/1967,South African Drivers Championship,John Love
South African Grand Prix,South African Grand Prix,ZAF,02/01/1967,F1 World Championship,Pedro Rodriguez
Rhodesian Grand Prix,Rhodesian Grand Prix,RHO,04/12/1966,Non-championship,Bob Anderson
Phoenix Indycars,Bobby Ball 200,USA,20/11/1966,USAC National Championship,Mario Andretti
Macau Grand Prix,Grande Premio de Macau,MAC,20/11/1966,Non-championship,Mauro Bianchi
Augusta NASCAR,Augusta 300,USA,13/11/1966,NASCAR Grand National,Richard Petty
Las Vegas Can-Am,Stardust Grand Prix,USA,13/11/1966,Can-Am Challenge,John Surtees
North Carolina NASCAR,American 500,USA,30/10/1966,NASCAR Grand National,Fred Lorenzen
Riverside Can-Am,Los Angeles Times Grand Prix,USA,30/10/1966,Can-Am Challenge,John Surtees
