prvenstvo,zmagovalec
Deutsche Tourenwagen Meisterschaft,Edoardo Mortara
European F3 Championship,Marcus Armstrong
World Motorcycle Championship,Jorge Lorenzo
Kazuki Nakajima,Sebastien Buemi
FIA Formula E Championship,Lucas di Grassi
Monster Energy NASCAR Cup,Clint Bowyer
F1 World Championship,Sebastian Vettel
Verizon IndyCar Series,Scott Dixon
Verizon IndyCar Series,Ryan Hunter-Reay
World Motorcycle Championship,Jorge Lorenzo
Monster Energy NASCAR Cup,Martin Truex jr
Deutsche Tourenwagen Meisterschaft,Marco Wittmann
European F3 Championship,Enaam Ahmed
European F3 Championship,Enaam Ahmed
Eric Curran,Felipe Nasr
Verizon IndyCar Series,Scott Dixon
Marco Seefried,Albert Costa
Deutsche Tourenwagen Meisterschaft,Paul di Resta
European F3 Championship,Dan Ticktum
Japanese Super Formula Championship,Naoki Yamamoto
Verizon IndyCar Series,Will Power
Monster Energy NASCAR Cup,Kyle Busch
F1 World Championship,Daniel Ricciardo
FIA Formula 2 Championship,Antonio Fuoco
FIA Formula 2 Championship,Artem Markelov
Indy Lights Presented by Cooper Tires,Colton Herta
World Touring Car Cup,Aurelien Comte
World Touring Car Cup,Jean-Karl Vernay
World Motorcycle Championship,Marc Marquez
World Touring Car Cup,Yann Ehrlacher
Jake Dennis,Nicki Thiim
Deutsche Tourenwagen Meisterschaft,Gary Paffett
FIA Formula E Championship,Daniel Abt
Deutsche Tourenwagen Meisterschaft,Edoardo Mortara
FIA Formula 2 Championship,Jack Aitken
GP3 Series,Giuliano Alesi
Japanese Super Formula Championship,Ni zmagovalca
European F3 Championship,Sacha Fenestraz
European F3 Championship,Ralf Aron
F1 World Championship,Lewis Hamilton
FIA Formula 2 Championship,George Russell
GP3 Series,Nikita Mazepin
Verizon IndyCar Series,Will Power
Indy Lights Presented by Cooper Tires,Colton Herta
Monster Energy NASCAR Cup,Kevin Harvick
World Touring Car Cup,Esteban Guerrieri
World Touring Car Cup,Thed Bjork
European F3 Championship,Guanyu Zhou
Indy Lights Presented by Cooper Tires,Colton Herta
World Touring Car Cup,Yvan Muller
Helio Castroneves,Ricky Taylor
World Motorcycle Championship,Marc Marquez
Monster Energy NASCAR Cup,Kevin Harvick
Deutsche Tourenwagen Meisterschaft,Timo Glock
Fernando Alonso,Kazuki Nakajima
Deutsche Tourenwagen Meisterschaft,Gary Paffett
FIA Formula 2 Championship,George Russell
Monster Energy NASCAR Cup,Joey Logano
World Touring Car Cup,Rob Huff
World Touring Car Cup,Gabriele Tarquini
F1 World Championship,Lewis Hamilton
FIA Formula 2 Championship,Alexander Albon
FIA Formula E Championship,Jean-Eric Vergne
World Touring Car Cup,Yann Ehrlacher
Indy Lights Presented by Cooper Tires,Pato O&#039;Ward
Japanese Super Formula Championship,Naoki Yamamoto
Christopher Mies,Alex Riberas
Verizon IndyCar Series,Josef Newgarden
World Motorcycle Championship,Marc Marquez
Indy Lights Presented by Cooper Tires,Pato O&#039;Ward
Monster Energy NASCAR Cup,Kyle Busch
Monster Energy NASCAR Cup,Kyle Busch
F1 World Championship,Daniel Ricciardo
Verizon IndyCar Series,Alexander Rossi
Filipe Albuquerque,Joao Barbosa
FIA Formula E Championship,Sam Bird
FIA Formula 2 Championship,Artem Markelov
World Motorcycle Championship,Cal Crutchlow
Monster Energy NASCAR Cup,Kyle Busch
World Touring Car Cup,Jean-Karl Vernay
World Touring Car Cup,Gabriele Tarquini
F1 World Championship,Sebastian Vettel
FIA Formula 2 Championship,Lando Norris
Verizon IndyCar Series,Josef Newgarden
World Touring Car Cup,Gabriele Tarquini
Monster Energy NASCAR Cup,Clint Bowyer
F1 World Championship,Sebastian Vettel
World Motorcycle Championship,Andrea Dovizioso
Monster Energy NASCAR Cup,Martin Truex jr
Luis Felipe Derani,Nicolas Lapierre
FIA Formula E Championship,Jean-Eric Vergne
Verizon IndyCar Series,Sebastien Bourdais
Indy Lights Presented by Cooper Tires,Santiago Urrutia
Monster Energy NASCAR Cup,Kevin Harvick
Indy Lights Presented by Cooper Tires,Pato O&#039;Ward
Monster Energy NASCAR Cup,Kevin Harvick
FIA Formula E Championship,Daniel Abt
Monster Energy NASCAR Cup,Kevin Harvick
Monster Energy NASCAR Cup,Austin Dillon
FIA Formula E Championship,Jean-Eric Vergne
Christian Fittipaldi,Joao Barbosa
